Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Bad Tölz, St;10680;1691;15.833333333333334
Bad Urach, Stadt;6361;1318;20.720012576638894
Bad Vilbel, Stadt;21077;2304;10.931346965886986
Bad Waldsee, Stadt;12518;2582;20.626298130691804
Bad Wiessee;2899;406;14.004829251466022
Bad Wildbad, Stadt;5388;1306;24.239049740163328
Bad Wildungen, Stadt;10060;2493;24.781312127236582
Bad Wilsnack, Stadt;1177;542;46.04927782497876
Bad Wimpfen, Stadt;4246;837;19.71267074894018
Bad Windsheim, St;6966;1435;20.60005742176285
Bad Wurzach, Stadt;8927;1953;21.877450431275903
Bad Wörishofen, St;9613;1894;19.70248621658171
Bad Wünnenberg, Stadt;8173;1689;20.665606264529547
Bad Zwesten;2572;618;24.027993779160187
Bad Zwischenahn;19874;2777;13.973030089564254
Bad Überkingen;2571;544;21.15908206923376
Badbergen;1972;490;24.84787018255578
Baddeckenstedt;1548;373;24.09560723514212
Badem;429;111;25.874125874125873
Baden-Baden, Stadt;29571;5431;18.365966656521593
Badendorf;516;116;22.48062015503876
Badenhard;80;18;22.5
Badenheim;290;61;21.03448275862069
Badenweiler;2571;413;16.063788409179306
Baesweiler, Stadt;15132;0;0.0
Bahlingen am Kaiserstuhl;2935;422;14.378194207836456
Bahrdorf;1011;286;28.288822947576655
Bahrenborstel;514;64;12.45136186770428
Bahrenfleth;287;77;26.829268292682926
Bahrenhof;121;18;14.87603305785124
Bahretal;1448;772;53.31491712707182
Baienfurt;4186;876;20.926899187768754
Baierbach;589;124;21.05263157894737
Baierbrunn;2073;178;8.586589483839846
Baiern;1045;183;17.51196172248804
Baiersbronn;8517;1654;19.41998356228719
Baiersdorf, St;5192;810;15.600924499229585
Baindt;3217;714;22.19459123406901
Baisweil;954;212;22.22222222222222
Bakum;4237;509;12.013216898749114
Balderschwang;145;23;15.862068965517242
Baldringen;132;24;18.181818181818183
Balduinstein;172;46;26.74418604651163
Balesfeld;74;15;20.27027027027027
Balge;951;155;16.298633017875922
Balgheim;796;210;26.381909547738694
Balgstädt;724;357;49.30939226519337
Balingen, Stadt;20729;4979;24.019489603936513
Balje;662;119;17.97583081570997
Ballendorf;335;72;21.492537313432837
Ballenstedt, Stadt;5633;2330;41.36339428368542
Ballhausen;445;259;58.20224719101124
Ballrechten-Dottingen;1648;226;13.71359223300971
Ballstedt;185;74;40.0
Balow;176;62;35.22727272727273
Baltmannsweiler;3657;768;21.00082034454471
Baltrum;334;41;12.275449101796408
Balve, Stadt;7509;1219;16.233852710081237
Balzhausen;861;256;29.732868757259002
Balzheim;1286;366;28.460342146189735
Bamberg;45173;6554;14.508666681424744
Bammental;3981;582;14.619442351168049
Bandelin;275;153;55.63636363636363
Bandenitz;296;124;41.891891891891895
Bann;1483;386;26.02832097100472
Bannberscheid;257;50;19.455252918287936
Bannewitz;7688;3176;41.31113423517169
