Gemeinde;Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
1;Altrich;524;113;21.564885496183205
1;Altrip;4789;1107;23.115472958864064
1;Amöneburg, Stadt;3517;593;16.86096104634632
1;Andervenne;506;51;10.079051383399209
1;Apen;7884;1686;21.385083713850836
1;Apolda, Stadt;12522;5154;41.159559175850504
1;Appel;995;219;22.01005025125628
1;Appen;2298;389;16.927763272410793
1;Appenheim;552;91;16.485507246376812
1;Arenshausen;493;197;39.95943204868154
1;Arholzen;197;39;19.79695431472081
1;Ascheberg (Holstein);2119;349;16.47003303445021
1;Aurich, Stadt;26849;4681;17.434541323699207
1;Axstedt;574;123;21.428571428571427
1;Aßlar, Stadt;7522;1945;25.857484711512896
1;Bad Bentheim, Stadt;8756;1210;13.819095477386934
1;Bad Gandersheim, Stadt;6007;1138;18.944564674546363
1;Bad Homburg v. d. Höhe, Stadt;30208;3771;12.483448093220339
1;Bad König, Stadt;5599;1146;20.46794070369709
1;Bad Orb, Stadt;5894;1342;22.768917543264337
1;Bad Salzschlirf;1963;553;28.17116658176261
1;Bad Soden am Taunus, Stadt;13134;1380;10.507080858839652
1;Bad Sooden-Allendorf, Stadt;5112;1024;20.031298904538342
1;Bahrdorf;1011;286;28.288822947576655
1;Bakum;4237;509;12.013216898749114
1;Balge;951;155;16.298633017875922
1;Barßel;8394;2265;26.983559685489634
1;Beckeln;419;59;14.081145584725537
1;Bellheim;2327;853;36.65663944993554
1;Bergen an der Dumme, Flecken;575;134;23.304347826086957
1;Berne;4548;826;18.161829375549694
1;Beselich;3427;851;24.83221476510067
1;Biebesheim am Rhein;3696;896;24.242424242424242
1;Blomberg;958;239;24.947807933194156
1;Bobenthal;112;20;17.857142857142858
1;Borken (Hessen), Stadt;7769;2070;26.64435577294375
1;Dietzenbach, Kreisstadt;14553;1957;13.447399161684876
1;Edemissen;8629;1498;17.360064897438868
